FDS Data,,,,True Labels,,,Participant Accuracy Compared to True Label,,,,,,,,,,,,,,,,,,,
P0,Q0,A0,,A1,,Participant,P0,P1,P2,P3,P4,P5,,,1,expert raw agreement:,Question,Tweet1,Tweet2,Tweet3,Tweet4,Tweet5,Tweet6,,,
P0,Q139,A0,,A1,,,0,1,0,0,1,1,,,1,,,,,,,,,,,
P0,Q140,A0,,A0,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q141,A0,,A1,,,0,1,0,0,1,1,,,0,,,,,,,,,,,
P0,Q142,A1,,A1,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q143,A0,,A0,,,0,1,0,0,1,1,,,1,,,,,,,,,,,
P0,Q144,A1,,A1,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q145,A0,,A0,,,1,1,1,1,0,1,,,0,,,,,,,,,,,
P0,Q146,A1,,A1,,,1,0,1,1,1,1,,,1,,,,,,,,,,,
P0,Q147,A1,,A1,,,1,1,1,1,0,1,,,0,,,,,,,,,,,
P0,Q148,A0,,A1,,,1,1,1,0,1,1,,,1,,,,,,,,,,,
P0,Q149,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q150,A0,,A0,,,0,0,0,1,1,1,,,0,,,,,,,,,,,
P0,Q151,A0,,A1,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q152,A0,,A0,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q153,A1,,A1,,,0,1,0,0,1,1,,,0,,,,,,,,,,,
P0,Q154,A0,,A1,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q155,A0,,A0,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q156,A1,,A1,,,0,0,0,0,1,1,,,0,,,,,,,,,,,
P0,Q157,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q158,A0,,A0,,,1,1,1,0,1,1,,,1,,,,,,,,,,,
P0,Q159,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q160,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q161,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q162,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q163,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q164,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q165,A1,,A0,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q166,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q167,A0,,A0,,,0,1,0,0,1,1,,,1,,,,,,,,,,,
P0,Q168,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q169,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q170,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q171,A0,,A0,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q172,A1,,A1,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q173,A1,,A1,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q174,A2,,A0,,,1,1,1,0,1,1,,,0,,,,,,,,,,,
P0,Q175,A1,,A1,,,1,1,1,1,0,1,,,1,,,,,,,,,,,
P0,Q176,A2,,A1,,,0,1,0,0,1,1,,,0,,,,,,,,,,,
P0,Q177,A1,,A1,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q178,A0,,A0,,,0,1,0,0,1,1,,,1,,,,,,,,,,,
P0,Q179,A0,,A0,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q180,A1,,A1,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q181,A1,,A1,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q182,A1,,A1,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q183,A0,,A0,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q184,A1,,A1,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q185,A0,,A0,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q186,A2,,A1,,,1,1,1,1,0,1,,,0,,,,,,,,,,,
P0,Q187,A0,,A1,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q188,A1,,A1,,,0,1,0,0,0,1,,,1,,,,,,,,,,,
P0,Q189,A1,,A1,,,0,1,0,0,0,1,,,1,,,,,,,,,,,
P0,Q190,A0,,A1,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q191,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q192,A0,,A0,,,0,1,0,0,1,1,,,0,,,,,,,,,,,
P0,Q193,A1,,A1,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q194,A0,,A1,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q195,A1,,A1,,,1,1,1,0,1,1,,,0,,,,,,,,,,,
P0,Q196,A0,,A0,,,0,0,0,1,1,1,,,1,,,,,,,,,,,
P0,Q197,A0,,A1,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q198,A1,,A1,,,1,1,1,1,0,1,,,0,,,,,,,,,,,
P0,Q199,A0,,A0,,,0,0,0,1,1,1,,,1,,,,,,,,,,,
P0,Q200,A0,,A0,,,1,1,1,0,1,1,,,1,,,,,,,,,,,
P0,Q201,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q202,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q203,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q204,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q205,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q206,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q207,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q208,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q209,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q210,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q211,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q212,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q213,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q214,A0,,A0,,,1,1,1,1,0,1,,,1,,,,,,,,,,,
P0,Q215,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q216,A1,,A0,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q217,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q218,A0,,A0,,,0,1,0,0,1,1,,,1,,,,,,,,,,,
P0,Q219,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q220,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q221,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q222,A0,,A0,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q223,A1,,A1,,,1,1,1,1,0,1,,,0,,,,,,,,,,,
P0,Q224,A1,,A0,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q225,A2,,A1,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q226,A1,,A1,,,0,1,0,0,1,1,,,1,,,,,,,,,,,
P0,Q227,A2,,A1,,,0,0,0,0,0,1,,,0,,,,,,,,,,,
P0,Q228,A1,,A1,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q229,A0,,A0,,,0,1,0,0,1,1,,,1,,,,,,,,,,,
P0,Q230,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q231,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q232,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q233,A0,,A0,,,1,1,1,0,0,1,,,1,,,,,,,,,,,
P0,Q234,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q235,A0,,A0,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q236,A1,,A1,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q237,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q238,A0,,A0,,,1,1,1,0,1,1,,,0,,,,,,,,,,,
P0,Q239,A1,,A1,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q240,A0,,A0,,,1,1,1,0,1,1,,,1,,,,,,,,,,,
P0,Q241,A0,,A1,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q242,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q243,A1,,A0,,,0,0,0,1,1,1,,,1,,,,,,,,,,,
P0,Q244,A1,,A1,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q245,A0,,A0,,,0,1,0,0,1,1,,,1,,,,,,,,,,,
P0,Q246,A1,,A1,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q247,A0,,A0,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q248,A1,,A1,,,1,0,1,0,1,1,,,1,,,,,,,,,,,
P0,Q249,A0,,A1,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q250,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q251,A0,,A0,,,0,1,0,0,1,1,,,1,,,,,,,,,,,
P0,Q252,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q253,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q254,A0,,A0,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q255,A0,,A1,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q256,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q257,A0,,A0,,,0,1,0,0,0,1,,,0,,,,,,,,,,,
P0,Q258,A0,,A0,,,1,1,1,0,1,1,,,1,,,,,,,,,,,
P0,Q259,A0,,A0,,,1,1,0,1,1,0,,,1,,,,,,,,,,,
P0,Q260,A0,,A0,,,1,0,1,0,1,1,,,1,,,,,,,,,,,
P0,Q261,A1,,A1,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q262,A0,,A0,,,1,1,1,0,1,1,,,1,,,,,,,,,,,
P0,Q263,A0,,A1,,,1,0,1,1,0,1,,,1,,,,,,,,,,,
P0,Q264,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q265,A0,,A0,,,0,0,0,0,0,1,,,1,,,,,,,,,,,
P0,Q266,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q267,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q268,A0,,A0,,,1,1,1,0,1,1,,,1,,,,,,,,,,,
P0,Q269,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q270,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q271,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q272,A0,,A1,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q273,A0,,A0,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q274,A1,,A1,,,0,0,0,0,0,1,,,1,,,,,,,,,,,
P0,Q275,A1,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q276,A2,,A0,,,1,1,0,1,1,0,,,0,,,,,,,,,,,
P0,Q277,A1,,A1,,,0,0,0,0,1,1,,,1,,,,,,,,,,,
P0,Q278,A2,,A1,,,0,0,0,0,1,1,,,0,,,,,,,,,,,
P0,Q279,A1,,A1,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q280,A0,,A0,,,0,1,0,0,1,1,,,1,,,,,,,,,,,
P0,Q281,A0,,A0,,,1,1,1,0,1,1,,,0,,,,,,,,,,,
P0,Q282,A1,,A1,,,1,0,1,1,1,1,,,0,,,,,,,,,,,
P0,Q283,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q284,A0,,A0,,,1,1,0,1,1,0,,,1,,,,,,,,,,,
P0,Q285,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q286,A0,,A0,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q287,A1,,A0,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q288,A0,,A1,,,1,1,0,1,1,0,,,1,,,,,,,,,,,
P0,Q289,A0,,A0,,,0,0,0,0,1,1,,,0,,,,,,,,,,,
P0,Q290,A1,,A1,,,0,0,0,1,1,1,,,0,,,,,,,,,,,
P0,Q291,A0,,A0,,,1,1,1,0,1,1,,,0,,,,,,,,,,,
P0,Q292,A1,,A1,,,1,1,1,1,0,1,,,1,,,,,,,,,,,
P0,Q293,A0,,A1,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q294,A0,,A1,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q295,A1,,A1,,,0,1,0,1,0,1,,,0,,,,,,,,,,,
P0,Q296,A0,,A1,,,0,1,0,0,0,1,,,1,,,,,,,,,,,
P0,Q297,A0,,A0,,,1,1,0,1,1,0,,,1,,,,,,,,,,,
P0,Q298,A0,,A0,,,0,0,0,1,1,1,,,1,,,,,,,,,,,
P0,Q299,A0,,A0,,,1,1,1,1,1,1,,,0,,,,,,,,,,,
P0,Q300,A1,,A1,,,1,1,1,1,0,1,,,0,,,,,,,,,,,
P0,Q301,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q302,A0,,A0,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q303,A0,,A0,,,1,1,1,1,0,1,,,0,,,,,,,,,,,
P0,Q304,A0,,A1,,,1,1,1,1,1,1,,,1,,,,,,,,,,,
P0,Q305,A0,,A0,,,1,1,1,1,0,1,,,0,,,,,,,,,,,
